#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
15550,-430757.9745226933,91694.68430414767,-339063.29021854565,302.21656073768213,459.6505236736547
15600,-431646.30148678157,93276.38160974914,-338369.9198770324,307.4296777624529,459.6505236736547
15650,-431188.58030275465,92060.7888151709,-339127.7914875838,303.4232047981491,459.6505236736547
15700,-431964.04849880515,91182.59751488452,-340781.4509839206,300.52877360558426,459.2353938178323
15750,-432073.9831313286,92249.3045565928,-339824.67857473576,304.0445339346175,459.58624350675984
15800,-432556.99176118337,92630.6332014037,-339926.35855977965,305.30135522605957,459.21011492217247
15850,-431858.5928853948,91398.73117950908,-340459.86170588573,301.24112867041885,459.21011492217247
15900,-432207.0371512128,91651.64559662454,-340555.3915545883,302.07470943774103,459.21011492217247
15950,-432045.1753198707,92430.506791536,-339614.6685283347,304.6417584810358,459.21011492217247
16000,-431091.25607698923,92139.28967766507,-338951.9663993241,303.6819358342824,459.21011492217247
16050,-431717.4000832015,92370.80965104961,-339346.59043215186,304.44500264267305,459.21011492217247
16100,-432474.9880531621,93408.45218742707,-339066.53586573503,307.8649692525034,459.21011492217247
16150,-431424.70425739605,92199.55983003089,-339225.14442736516,303.8805802628156,459.21011492217247
16200,-431314.7080906676,92306.665480256,-339008.04261041165,304.23358983465994,459.21011492217247
16250,-430873.94119040575,90323.69580559392,-340550.24538481183,297.6979189866565,459.68202799015046
16300,-431863.68165013357,91634.5489739403,-340229.13267619326,302.0183606695755,459.68202799015046
16350,-432194.4819007758,91369.8112218837,-340824.6706788921,301.1458113660784,459.68202799015046
16400,-430657.9503329764,91608.03546755479,-339049.9148654216,301.9309747892081,460.05996133860407
16450,-431909.23450021213,90904.91982734308,-341004.31467286905,299.61357556156236,458.89762977206317
16500,-432154.2913060924,91781.58511096498,-340372.70619512745,302.5029771549582,459.24926342350795
16550,-429400.9489056475,92255.04457059238,-337145.90433505515,304.0634524499349,459.34480613856
16600,-430965.14811758185,92391.78131069751,-338573.36680688435,304.5141231473113,459.34480613856
16650,-430814.46120780683,92573.88672944356,-338240.57447836327,305.11432449772525,459.34480613856
16700,-430947.49068381754,91542.23289258152,-339405.25779123604,301.71409604594163,459.34480613856
16750,-432027.6661355039,89986.50636528304,-342041.15977022087,296.58657612375066,459.22119511075795
16800,-431736.0848335163,91740.48816325626,-339995.59667026,302.3675257022639,459.22119511075795
16850,-432210.3815527917,91024.75306188871,-341185.62849090295,300.0085339856115,459.7451856581183
16900,-431411.58123701625,92600.82105485597,-338810.7601821603,305.20309735575626,458.70130117071085
16950,-431220.41578730685,92316.02996808533,-338904.3858192215,304.26445425527857,458.96646017740085
17000,-431321.3079249612,91612.3820994204,-339708.9258255408,301.94530085557926,458.96646017740085
17050,-430841.15742741735,92557.00533933386,-338284.1520880835,305.0586851147213,458.96646017740085
17100,-431442.96620993735,92758.95010095363,-338684.0161089837,305.72427496629086,459.65712837429544
17150,-431985.5197352695,93669.06540464409,-338316.45433062536,308.7239244993404,459.65712837429544
